p1,p2,g1_ratio,policy,avg_cost
0.1,0.9,66,ratiocoll-nodupe,658.2666666666667
0.1,0.9,66,epsilon-exact-nodupe,647.0333333333333
0.1,0.9,67,random,647.0666666666667
0.1,0.9,67,coupcoll-nodupe,685.2666666666667
0.1,0.9,67,ratiocoll-nodupe,657.6
0.1,0.9,67,epsilon-exact-nodupe,689.2333333333333
0.1,0.9,68,random,659.5666666666667
0.1,0.9,68,coupcoll-nodupe,696.4333333333333
0.1,0.9,68,ratiocoll-nodupe,662.9666666666667
0.1,0.9,68,epsilon-exact-nodupe,674.5666666666667
0.1,0.9,69,random,676.2
0.1,0.9,69,coupcoll-nodupe,689.2333333333333
0.1,0.9,69,ratiocoll-nodupe,695.5333333333333
0.1,0.9,69,epsilon-exact-nodupe,682.5
0.1,0.9,70,random,709.2333333333333
0.1,0.9,70,coupcoll-nodupe,701.1
0.1,0.9,70,ratiocoll-nodupe,710.6
0.1,0.9,70,epsilon-exact-nodupe,701.3
0.1,0.9,71,random,716.0333333333333
0.1,0.9,71,coupcoll-nodupe,711.0666666666667
0.1,0.9,71,ratiocoll-nodupe,728.4
0.1,0.9,71,epsilon-exact-nodupe,712.7666666666667
0.1,0.9,72,random,731.0
0.1,0.9,72,coupcoll-nodupe,721.2
0.1,0.9,72,ratiocoll-nodupe,730.9333333333333
0.1,0.9,72,epsilon-exact-nodupe,732.9333333333333
0.1,0.9,73,random,724.7333333333333
0.1,0.9,73,coupcoll-nodupe,743.8
0.1,0.9,73,ratiocoll-nodupe,722.2666666666667
0.1,0.9,73,epsilon-exact-nodupe,696.0333333333333
0.1,0.9,74,random,754.5666666666667
0.1,0.9,74,coupcoll-nodupe,744.5666666666667
0.1,0.9,74,ratiocoll-nodupe,762.1666666666666
0.1,0.9,74,epsilon-exact-nodupe,730.8
0.1,0.9,75,random,737.7333333333333
0.1,0.9,75,coupcoll-nodupe,747.7333333333333
0.1,0.9,75,ratiocoll-nodupe,742.9666666666667
0.1,0.9,75,epsilon-exact-nodupe,750.8
0.1,0.9,76,random,770.1666666666666
0.1,0.9,76,coupcoll-nodupe,753.8
0.1,0.9,76,ratiocoll-nodupe,769.0333333333333
0.1,0.9,76,epsilon-exact-nodupe,765.3333333333334
0.1,0.9,77,random,750.4666666666667
0.1,0.9,77,coupcoll-nodupe,776.0
0.1,0.9,77,ratiocoll-nodupe,770.1
0.1,0.9,77,epsilon-exact-nodupe,756.1333333333333
0.1,0.9,78,random,786.0333333333333
0.1,0.9,78,coupcoll-nodupe,780.2
0.1,0.9,78,ratiocoll-nodupe,783.8666666666667
0.1,0.9,78,epsilon-exact-nodupe,792.5333333333333
0.1,0.9,79,random,784.7333333333333
0.1,0.9,79,coupcoll-nodupe,787.3
0.1,0.9,79,ratiocoll-nodupe,788.6666666666666
0.1,0.9,79,epsilon-exact-nodupe,769.0333333333333
0.1,0.9,80,random,812.7333333333333
0.1,0.9,80,coupcoll-nodupe,826.9666666666667
0.1,0.9,80,ratiocoll-nodupe,808.0666666666667
0.1,0.9,80,epsilon-exact-nodupe,791.8
0.1,0.9,81,random,812.6666666666666
0.1,0.9,81,coupcoll-nodupe,800.2
0.1,0.9,81,ratiocoll-nodupe,800.1333333333333
0.1,0.9,81,epsilon-exact-nodupe,833.2
0.1,0.9,82,random,828.3333333333334
0.1,0.9,82,coupcoll-nodupe,819.2666666666667
0.1,0.9,82,ratiocoll-nodupe,801.2
0.1,0.9,82,epsilon-exact-nodupe,820.9333333333333
0.1,0.9,83,random,828.1666666666666
0.1,0.9,83,coupcoll-nodupe,798.4666666666667
0.1,0.9,83,ratiocoll-nodupe,823.5666666666667
0.1,0.9,83,epsilon-exact-nodupe,836.0333333333333
0.1,0.9,84,random,852.3333333333334
0.1,0.9,84,coupcoll-nodupe,821.7
0.1,0.9,84,ratiocoll-nodupe,830.1333333333333
0.1,0.9,84,epsilon-exact-nodupe,846.2
0.1,0.9,85,random,867.1333333333333
0.1,0.9,85,coupcoll-nodupe,847.2
0.1,0.9,85,ratiocoll-nodupe,856.0333333333333
0.1,0.9,85,epsilon-exact-nodupe,844.8333333333334
0.1,0.9,86,random,874.2333333333333
0.1,0.9,86,coupcoll-nodupe,871.9333333333333
0.1,0.9,86,ratiocoll-nodupe,843.4333333333333
0.1,0.9,86,epsilon-exact-nodupe,824.0333333333333
0.1,0.9,87,random,879.6
0.1,0.9,87,coupcoll-nodupe,854.8
0.1,0.9,87,ratiocoll-nodupe,857.3333333333334
0.1,0.9,87,epsilon-exact-nodupe,871.2
0.1,0.9,88,random,854.8666666666667
0.1,0.9,88,coupcoll-nodupe,879.9
0.1,0.9,88,ratiocoll-nodupe,887.1333333333333
0.1,0.9,88,epsilon-exact-nodupe,859.2666666666667
0.1,0.9,89,random,913.9333333333333
0.1,0.9,89,coupcoll-nodupe,863.6
0.1,0.9,89,ratiocoll-nodupe,907.8333333333334
0.1,0.9,89,epsilon-exact-nodupe,897.9666666666667
0.1,0.9,90,random,904.8
0.1,0.9,90,coupcoll-nodupe,923.5
0.1,0.9,90,ratiocoll-nodupe,943.7666666666667
0.1,0.9,90,epsilon-exact-nodupe,904.5333333333333
0.1,0.9,91,random,931.6666666666666
0.1,0.9,91,coupcoll-nodupe,924.3666666666667
0.1,0.9,91,ratiocoll-nodupe,904.2333333333333
0.1,0.9,91,epsilon-exact-nodupe,881.9333333333333
0.1,0.9,92,random,937.8333333333334
0.1,0.9,92,coupcoll-nodupe,898.3666666666667
0.1,0.9,92,ratiocoll-nodupe,916.3
0.1,0.9,92,epsilon-exact-nodupe,904.6666666666666
0.1,0.9,93,random,970.5666666666667
0.1,0.9,93,coupcoll-nodupe,948.9
0.1,0.9,93,ratiocoll-nodupe,939.4
0.1,0.9,93,epsilon-exact-nodupe,943.5
