p1,p2,total_query,policy,avg_cost
70,30,5096,ratiocoll,5145.066666666667
70,30,5096,union-bound,10192.380952380952
70,30,5096,asymptotic,5158.146278668664
70,30,5096,epsilon-exact,5160.933333333333
70,50,32,random,38.36666666666667
70,50,32,coupcoll,34.733333333333334
70,50,32,ratiocoll,33.86666666666667
70,50,32,union-bound,53.14285714285714
70,50,32,asymptotic,36.5775413792854
70,50,32,epsilon-exact,35.7
70,50,64,random,71.0
70,50,64,coupcoll,68.9
70,50,64,ratiocoll,67.03333333333333
70,50,64,union-bound,106.85714285714286
70,50,64,asymptotic,70.47362110090945
70,50,64,epsilon-exact,67.9
70,50,128,random,137.03333333333333
70,50,128,coupcoll,136.66666666666666
70,50,128,ratiocoll,130.43333333333334
70,50,128,union-bound,213.14285714285714
70,50,128,asymptotic,137.1550827585708
70,50,128,epsilon-exact,131.26666666666668
70,50,256,random,274.73333333333335
70,50,256,coupcoll,274.3666666666667
70,50,256,ratiocoll,258.6333333333333
70,50,256,union-bound,426.8571428571429
70,50,256,asymptotic,268.94724220181894
70,50,256,epsilon-exact,260.46666666666664
70,50,512,random,543.4333333333333
70,50,512,coupcoll,547.5
70,50,512,ratiocoll,514.0333333333333
70,50,512,union-bound,853.1428571428571
70,50,512,asymptotic,530.3101655171416
70,50,512,epsilon-exact,515.3
70,50,1024,random,1075.6333333333334
70,50,1024,coupcoll,1101.6333333333334
70,50,1024,ratiocoll,1025.8333333333333
70,50,1024,union-bound,1706.857142857143
70,50,1024,asymptotic,1049.8944844036378
70,50,1024,epsilon-exact,1027.5333333333333
70,50,2048,random,2137.6666666666665
70,50,2048,coupcoll,2187.366666666667
70,50,2048,ratiocoll,2049.866666666667
70,50,2048,union-bound,3413.142857142857
70,50,2048,asymptotic,2084.620331034283
70,50,2048,epsilon-exact,2050.4
70,50,5096,random,5307.7
70,50,5096,coupcoll,5458.433333333333
70,50,5096,ratiocoll,5097.233333333334
70,50,5096,union-bound,8493.142857142857
70,50,5096,asymptotic,5153.765960555001
70,50,5096,epsilon-exact,5098.8
70,70,32,random,35.266666666666666
70,70,32,coupcoll,33.36666666666667
70,70,32,ratiocoll,32.666666666666664
70,70,32,union-bound,45.714285714285715
70,70,32,asymptotic,36.51351666838205
70,70,32,epsilon-exact,33.43333333333333
